bootstrap_size;no_features;max_depth;no_trees;Accuracy;Seed set
5400;10;5;10;0,506;1
5400;10;5;20;0,507333333;1
5400;10;5;30;0,560166667;1
5400;10;5;40;0,5895;1
5400;10;5;50;0,6065;1
5400;10;5;100;0,649333333;1
5400;10;10;10;0,5005;1
5400;10;10;20;0,5445;1
5400;10;10;30;0,5995;1
5400;10;10;40;0,632833333;1
5400;10;10;50;0,6455;1
5400;10;10;100;0,685166667;1
5400;10;15;10;0,469333333;1
5400;10;15;20;0,5255;1
5400;10;15;30;0,571666667;1
5400;10;15;40;0,617166667;1
5400;10;15;50;0,631833333;1
5400;10;15;100;0,680666667;1
5400;10;20;10;0,465166667;1
5400;10;20;20;0,531666667;1
5400;10;20;30;0,5775;1
5400;10;20;40;0,623;1
5400;10;20;50;0,6385;1
5400;10;20;100;0,688;1
5400;10;25;10;0,464833333;1
5400;10;25;20;0,534666667;1
5400;10;25;30;0,579;1
5400;10;25;40;0,624666667;1
5400;10;25;50;0,643166667;1
5400;10;25;100;0,691;1
5400;20;5;10;0,691166667;1
5400;20;5;20;0,734666667;1
5400;20;5;30;0,7545;1
5400;20;5;40;0,756666667;1
5400;20;5;50;0,7595;1
5400;20;5;100;0,794666667;1
5400;20;10;10;0,736666667;1
5400;20;10;20;0,786166667;1
5400;20;10;30;0,829833333;1
5400;20;10;40;0,842166667;1
5400;20;10;50;0,849166667;1
5400;20;10;100;0,8735;1
5400;20;15;10;0,7225;1
5400;20;15;20;0,781833333;1
5400;20;15;30;0,834166667;1
5400;20;15;40;0,8495;1
5400;20;15;50;0,853333333;1
5400;20;15;100;0,8885;1
5400;20;20;10;0,719166667;1
5400;20;20;20;0,774666667;1
5400;20;20;30;0,830666667;1
5400;20;20;40;0,851333333;1
5400;20;20;50;0,855166667;1
5400;20;20;100;0,896;1
5400;20;25;10;0,719833333;1
5400;20;25;20;0,773333333;1
5400;20;25;30;0,829;1
5400;20;25;40;0,850666667;1
5400;20;25;50;0,855666667;1
5400;20;25;100;0,896333333;1
5400;20;35;10;0,732016667;0
5400;20;35;20;0,8121;0
5400;20;35;30;0,84435;0
5400;20;35;40;0,8641;0
5400;20;35;50;0,878;0
5400;20;45;10;0,7309;0
5400;20;45;20;0,807133333;0
5400;20;45;30;0,84685;0
5400;20;45;40;0,85965;0
5400;20;45;50;0,879666667;0
5400;20;55;10;0,713666667;0
5400;20;55;20;0,822166667;0
5400;20;55;30;0,856666667;0
5400;20;55;40;0,867166667;0
5400;20;55;50;0,884;0
5400;30;5;10;0,739;1
5400;30;5;20;0,777166667;1
5400;30;5;30;0,7875;1
5400;30;5;40;0,802833333;1
5400;30;5;50;0,808166667;1
5400;30;5;100;0,825666667;1
5400;30;10;10;0,8245;1
5400;30;10;20;0,864333333;1
5400;30;10;30;0,880166667;1
5400;30;10;40;0,892;1
5400;30;10;50;0,895166667;1
5400;30;10;100;0,912666667;1
5400;30;15;10;0,822666667;1
5400;30;15;20;0,863;1
5400;30;15;30;0,889833333;1
5400;30;15;40;0,9005;1
5400;30;15;50;0,911666667;1
5400;30;15;100;0,924833333;1
5400;30;20;10;0,821166667;1
5400;30;20;20;0,864833333;1
5400;30;20;30;0,8885;1
5400;30;20;40;0,9005;1
5400;30;20;50;0,912666667;1
5400;30;20;100;0,925666667;1
5400;30;25;10;0,821;1
5400;30;25;20;0,8655;1
5400;30;25;30;0,888;1
5400;30;25;40;0,900333333;1
5400;30;25;50;0,913;1
5400;30;25;100;0,926666667;1
5400;40;5;10;0,762166667;1
5400;40;5;20;0,798666667;1
5400;40;5;30;0,812;1
5400;40;5;40;0,8215;1
5400;40;5;50;0,833166667;1
5400;40;5;100;0,843833333;1
5400;40;10;10;0,8595;1
5400;40;10;20;0,892333333;1
5400;40;10;30;0,906333333;1
5400;40;10;40;0,912;1
5400;40;10;50;0,919833333;1
5400;40;10;100;0,9315;1
5400;40;15;10;0,864166667;1
5400;40;15;20;0,900666667;1
5400;40;15;30;0,915833333;1
5400;40;15;40;0,922333333;1
5400;40;15;50;0,927833333;1
5400;40;15;100;0,938833333;1
5400;40;20;10;0,864;1
5400;40;20;20;0,901833333;1
5400;40;20;30;0,915;1
5400;40;20;40;0,9225;1
5400;40;20;50;0,9295;1
5400;40;20;100;0,939333333;1
5400;40;25;10;0,863833333;1
5400;40;25;20;0,902;1
5400;40;25;30;0,915166667;1
5400;40;25;40;0,922833333;1
5400;40;25;50;0,929333333;1
5400;40;25;100;0,9395;1
5400;40;35;10;0,86185;0
5400;40;35;20;0,902066667;0
5400;40;35;30;0,918816667;0
5400;40;35;40;0,927944444;0
5400;40;35;50;0,936666667;0
5400;40;45;10;0,8625;0
5400;40;45;20;0,895666667;0
5400;40;45;30;0,922833333;0
5400;40;45;40;0,930833333;0
5400;40;45;50;0,929333333;0
5400;40;55;10;0,843333333;0
5400;40;55;20;0,905833333;0
5400;40;55;30;0,9225;0
5400;40;55;40;0,922166667;0
5400;40;55;50;0,928;0
5400;50;5;10;0,757833333;1
5400;50;5;20;0,8055;1
5400;50;5;30;0,819;1
5400;50;5;40;0,826;1
5400;50;5;50;0,838166667;1
5400;50;5;100;0,8485;1
5400;50;10;10;0,8765;1
