,bootstrap_size,no_features,max_depth,no_trees,accuracy,seconds
0,60000.0,30.0,15.0,10.0,0.8476,2923.580361
1,60000.0,30.0,15.0,20.0,0.8989,3194.685625
2,60000.0,30.0,15.0,30.0,0.917,2947.73568
3,60000.0,30.0,15.0,40.0,0.9261,3039.486503
4,60000.0,30.0,15.0,50.0,0.9322,2908.560727
5,60000.0,30.0,15.0,60.0,0.9368,2981.865411
6,60000.0,30.0,15.0,70.0,0.9372,3017.13335
7,60000.0,30.0,15.0,80.0,0.9406,3419.230012
8,60000.0,30.0,15.0,90.0,0.942,4070.322399
9,60000.0,30.0,15.0,100.0,0.9429,4056.765909
