,bootstrap_size,no_features,max_depth,no_trees,accuracy,seconds
0,5400.0,20.0,5.0,10.0,0.6758333333333333,55.622023
1,5400.0,20.0,5.0,10.0,0.659,53.560079
2,5400.0,20.0,5.0,10.0,0.6966666666666667,53.09121999999999
3,5400.0,20.0,5.0,10.0,0.6785,57.300559
4,5400.0,20.0,5.0,10.0,0.6905,55.615857
5,5400.0,20.0,5.0,10.0,0.6586666666666666,52.692874
6,5400.0,20.0,5.0,10.0,0.6821666666666667,50.165072
7,5400.0,20.0,5.0,10.0,0.667,54.18057
8,5400.0,20.0,5.0,10.0,0.6796666666666666,49.54548
9,5400.0,20.0,5.0,10.0,0.6623333333333333,51.823536
10,5400.0,20.0,5.0,20.0,0.741,100.542077
11,5400.0,20.0,5.0,20.0,0.7408333333333333,102.676527
12,5400.0,20.0,5.0,20.0,0.7376666666666667,106.393439
13,5400.0,20.0,5.0,20.0,0.7485,97.181076
14,5400.0,20.0,5.0,20.0,0.7331666666666666,100.156922
15,5400.0,20.0,5.0,20.0,0.7488333333333334,99.81992
16,5400.0,20.0,5.0,20.0,0.7490000000000001,102.811808
17,5400.0,20.0,5.0,20.0,0.7371666666666666,104.473975
18,5400.0,20.0,5.0,20.0,0.7256666666666667,102.720314
19,5400.0,20.0,5.0,20.0,0.7478333333333333,116.376748
20,5400.0,20.0,5.0,30.0,0.7291666666666666,148.179449
21,5400.0,20.0,5.0,30.0,0.7775,157.026111
22,5400.0,20.0,5.0,30.0,0.7603333333333333,144.056272
23,5400.0,20.0,5.0,30.0,0.764,150.940051
24,5400.0,20.0,5.0,30.0,0.7536666666666667,140.910961
25,5400.0,20.0,5.0,30.0,0.7596666666666667,152.24721200000005
26,5400.0,20.0,5.0,30.0,0.7693333333333333,153.739395
27,5400.0,20.0,5.0,30.0,0.7908333333333334,152.29591100000005
28,5400.0,20.0,5.0,30.0,0.7413333333333333,141.357232
29,5400.0,20.0,5.0,30.0,0.7483333333333333,154.42373999999995
