,bootstrap_size,no_features,max_depth,no_trees,accuracy,seconds
0,5400.0,50.0,25.0,50.0,0.9418333333333332,1480.232153
1,5400.0,50.0,25.0,100.0,0.9468333333333332,1536.3370630000002
2,5400.0,50.0,25.0,150.0,0.9496666666666668,1491.696913
3,5400.0,50.0,25.0,200.0,0.9495,1533.899977
4,13500.0,50.0,25.0,50.0,0.9465,4916.205847
5,13500.0,50.0,25.0,100.0,0.9548333333333332,5087.597453
6,5400.0,100.0,25.0,50.0,0.9503333333333334,4421.522989
7,5400.0,100.0,25.0,100.0,0.9521666666666667,4507.329467
8,5400.0,100.0,25.0,150.0,0.9533333333333334,4495.699491
9,5400.0,100.0,25.0,200.0,0.9543333333333334,4489.002433
10,5400.0,150.0,25.0,50.0,0.9495,9778.803873
11,5400.0,150.0,25.0,100.0,0.9515,9693.23438
12,5400.0,150.0,25.0,150.0,0.9523333333333334,9765.234839
13,5400.0,150.0,25.0,200.0,0.9516666666666667,9531.002793
14,5400.0,200.0,25.0,50.0,0.9468333333333333,17210.243932
15,5400.0,200.0,25.0,100.0,0.9491666666666667,16933.411952
16,5400.0,200.0,25.0,150.0,0.9493333333333334,17152.06181
17,5400.0,200.0,25.0,200.0,0.9491666666666667,17050.002411
18,13500.0,50.0,25.0,150.0,0.9565,14934.256292
19,13500.0,50.0,25.0,200.0,0.9588333333333333,5062.36602
