,bootstrap_size,no_features,max_depth,no_trees,accuracy,seconds
0,5400.0,10.0,25.0,10.0,0.4648333333333333,58.540411999999996
1,5400.0,10.0,25.0,20.0,0.5346666666666666,43.86766
2,5400.0,10.0,25.0,30.0,0.579,56.018159
3,5400.0,10.0,25.0,40.0,0.6246666666666667,59.058027
4,5400.0,10.0,25.0,50.0,0.6431666666666667,58.494535
5,5400.0,10.0,25.0,100.0,0.691,293.376257
6,5400.0,20.0,25.0,10.0,0.7198333333333333,128.83239
7,5400.0,20.0,25.0,20.0,0.7733333333333333,118.80321699999999
8,5400.0,20.0,25.0,30.0,0.8290000000000001,137.712636
9,5400.0,20.0,25.0,40.0,0.8506666666666667,128.846353
10,5400.0,20.0,25.0,50.0,0.8556666666666667,132.676108
11,5400.0,20.0,25.0,100.0,0.8963333333333333,664.324021
12,5400.0,30.0,25.0,10.0,0.821,217.194035
13,5400.0,30.0,25.0,20.0,0.8655,189.322586
14,5400.0,30.0,25.0,30.0,0.888,214.914132
15,5400.0,30.0,25.0,40.0,0.9003333333333333,206.625305
16,5400.0,30.0,25.0,50.0,0.9129999999999999,210.004266
17,5400.0,30.0,25.0,100.0,0.9266666666666666,1082.982166
18,5400.0,40.0,25.0,10.0,0.8638333333333333,326.936489
19,5400.0,40.0,25.0,20.0,0.902,287.339405
20,5400.0,40.0,25.0,30.0,0.9151666666666668,305.963588
21,5400.0,40.0,25.0,40.0,0.9228333333333332,307.219229
22,5400.0,40.0,25.0,50.0,0.9293333333333332,313.241122
23,5400.0,40.0,25.0,100.0,0.9395,1595.073391
24,5400.0,50.0,25.0,10.0,0.8809999999999999,458.93142
25,5400.0,50.0,25.0,20.0,0.9201666666666668,405.18618
26,5400.0,50.0,25.0,30.0,0.9313333333333332,427.789718
27,5400.0,50.0,25.0,40.0,0.9363333333333334,418.12656699999997
28,5400.0,50.0,25.0,50.0,0.9418333333333332,432.75942599999996
29,5400.0,50.0,25.0,100.0,0.9468333333333332,4961.508063
30,5400.0,100.0,25.0,10.0,0.9051666666666668,1367.010429
