bootstrap_size,no_features,max_depth,no_trees,accuracy,seconds
5400,10,5,10,0.781,0.280285
5400,10,5,20,0.8095,0.410884
5400,10,5,30,0.815,0.526735
5400,10,5,40,0.828166667,0.627326
5400,10,5,50,0.831666667,0.752996
5400,10,5,100,0.847833333,1.373476
5400,10,10,10,0.889166667,0.355235
5400,10,10,20,0.907333333,0.565458
5400,10,10,30,0.916333333,0.790872
5400,10,10,40,0.922333333,1.051445
5400,10,10,50,0.925,1.149073
5400,10,10,100,0.93,2.097287
5400,10,15,10,0.887666667,0.441372
5400,10,15,20,0.918,0.706263
5400,10,15,30,0.929666667,0.907664
5400,10,15,40,0.932666667,1.156698
5400,10,15,50,0.9355,1.473184
5400,10,15,100,0.940666667,2.491072
5400,10,20,10,0.887166667,0.422837
5400,10,20,20,0.920333333,0.64823
5400,10,20,30,0.928,0.872168
5400,10,20,40,0.937,1.118103
5400,10,20,50,0.939166667,1.338663
5400,10,20,100,0.944333333,2.548952
5400,10,25,10,0.8805,0.381948
5400,10,25,20,0.917166667,0.588396
5400,10,25,30,0.927166667,0.816787
5400,10,25,40,0.932166667,1.030749
5400,10,25,50,0.938833333,1.244006
5400,10,25,100,0.944333333,2.34069
5400,20,5,10,0.791833333,0.31316
5400,20,5,20,0.8215,0.47174
5400,20,5,30,0.8335,0.636729
5400,20,5,40,0.837833333,0.805149
5400,20,5,50,0.841666667,0.974804
5400,20,5,100,0.851,1.773765
5400,20,10,10,0.896666667,0.590746
5400,20,10,20,0.915833333,1.044542
5400,20,10,30,0.9235,1.159959
5400,20,10,40,0.9285,1.534068
5400,20,10,50,0.930333333,1.886923
5400,20,10,100,0.933,3.418867
5400,20,15,10,0.8985,0.586842
5400,20,15,20,0.923666667,0.915569
5400,20,15,30,0.929666667,1.338441
5400,20,15,40,0.932833333,1.747496
5400,20,15,50,0.937166667,2.031645
5400,20,15,100,0.940666667,3.966973
5400,20,20,10,0.902,0.550403
5400,20,20,20,0.924166667,0.887978
5400,20,20,30,0.930833333,1.267245
5400,20,20,40,0.9355,1.627241
5400,20,20,50,0.938833333,2.048042
5400,20,20,100,0.947,3.898234
5400,20,25,10,0.902333333,0.50462
5400,20,25,20,0.9265,0.836043
5400,20,25,30,0.9325,1.173862
5400,20,25,40,0.936166667,1.524884
5400,20,25,50,0.938166667,1.868805
5400,20,25,100,0.944,3.561811
5400,30,5,10,0.792833333,0.381603
5400,30,5,20,0.824166667,0.839754
5400,30,5,30,0.835666667,1.206521
5400,30,5,40,0.837666667,1.186369
5400,30,5,50,0.841666667,1.37483
5400,30,5,100,0.8475,2.316108
5400,30,10,10,0.901,0.652315
5400,30,10,20,0.919833333,1.140489
5400,30,10,30,0.927666667,1.607245
5400,30,10,40,0.927833333,1.911809
5400,30,10,50,0.9305,2.416698
5400,30,10,100,0.934,4.721173
5400,30,15,10,0.904,0.814129
5400,30,15,20,0.930166667,1.287561
5400,30,15,30,0.935666667,1.829433
5400,30,15,40,0.94,2.182351
5400,30,15,50,0.942,2.783695
5400,30,15,100,0.945666667,5.352748
5400,30,20,10,0.91,0.696278
5400,30,20,20,0.930833333,1.248129
5400,30,20,30,0.935666667,1.69535
5400,30,20,40,0.941,2.244573
5400,30,20,50,0.943166667,2.78242
5400,30,20,100,0.946333333,5.454953
5400,30,25,10,0.9115,0.680432
5400,30,25,20,0.93,1.173507
5400,30,25,30,0.937333333,1.701792
5400,30,25,40,0.941666667,2.002069
5400,30,25,50,0.943166667,2.425138
5400,30,25,100,0.9475,4.781128
5400,40,5,10,0.800333333,0.425041
5400,40,5,20,0.826166667,0.687338
5400,40,5,30,0.836833333,0.948606
5400,40,5,40,0.843333333,1.216152
5400,40,5,50,0.846333333,1.514527
5400,40,5,100,0.849333333,2.954136
5400,40,10,10,0.903166667,0.818265
5400,40,10,20,0.921833333,1.79279
5400,40,10,30,0.928166667,1.898667
5400,40,10,40,0.929166667,2.360129
5400,40,10,50,0.932833333,3.01913
5400,40,10,100,0.936666667,5.716368
5400,40,15,10,0.9045,0.795209
5400,40,15,20,0.925,1.45883
5400,40,15,30,0.9335,2.042609
5400,40,15,40,0.9365,2.675644
5400,40,15,50,0.9395,3.373858
5400,40,15,100,0.943833333,7.5383
5400,40,20,10,0.910333333,0.732181
5400,40,20,20,0.9295,1.29873
5400,40,20,30,0.935833333,1.908864
5400,40,20,40,0.939666667,2.468397
5400,40,20,50,0.940833333,2.987814
5400,40,20,100,0.945166667,5.901025
5400,40,25,10,0.906833333,0.816311
5400,40,25,20,0.929166667,1.42531
